"rank","country_code","name","gas","emissionsQuantity","emissionsPerCapita","percentage","emissionsPercentChange"
1,"CHN","China","co2e_100yr",17585496152.64233,12.46376794350271,23.12466101200206,0.14469682931881736
2,"USA","United States of America","co2e_100yr",7540039032.205036,22.74514168160489,9.915037092132698,-5.032933890567379
3,"IND","India","co2e_100yr",4378546429.066565,3.172849649362936,5.757722217138732,-7.1729312580194655
4,"RUS","Russian Federation","co2e_100yr",4038531328.174856,28.0251005257787,5.310607510858408,-1.7808393892011523
5,"BRA","Brazil","co2e_100yr",3813774156.5707126,17.942156381187118,5.015055235378182,39.28798478305334
6,"IDN","Indonesia","co2e_100yr",1752667174.7857056,6.407736079165556,2.3047307810927444,7.289450578883919
7,"AUS","Australia","co2e_100yr",1595041475.3449826,62.08013466504601,2.0974553744333337,130.95033794108284
8,"BOL","Bolivia (Plurinational State of)","co2e_100yr",1587094245.041832,135.96250339494847,2.087004886989051,150.86194598274741
9,"CAN","Canada","co2e_100yr",1581062411.5122442,41.56621005876889,2.0790731172828214,-2.855314025842641
10,"COD","Democratic Republic of the Congo","co2e_100yr",1469536720.927192,16.408147430640906,1.9324185238313165,26.329598124934243
11,"JPN","Japan","co2e_100yr",1311469702.8226664,10.4220531800085,1.7245627898151956,-3.9787778659378485
12,"IRN","Iran (Islamic Republic of)","co2e_100yr",1285773424.5548415,15.308110723941823,1.6907725732039776,2.4018314699293724
13,"SAU","Saudi Arabia","co2e_100yr",1029623101.3096377,29.575085735509866,1.3539387789371,1.3621475806725352
14,"AGO","Angola","co2e_100yr",1021518306.5696447,31.081055706405262,1.3432810966455468,129.84807891616057
15,"MEX","Mexico","co2e_100yr",957586565.4211946,7.427023336895587,1.2592118256319544,-3.074814142479786
16,"DEU","Germany","co2e_100yr",789768879.4833715,9.496880804475598,1.0385341111423534,-3.725071264573817
17,"KOR","Republic of Korea","co2e_100yr",710078937.5652745,13.698504198294064,0.9337430448609941,-4.133143993689699
18,"ZAF","South Africa","co2e_100yr",699989713.6599773,11.802481451874545,0.920475868282122,2.467743085566222
19,"TUR","Turkey","co2e_100yr",628832162.8432665,7.456000940148727,0.8269047670292579,-0.7102906757392147
20,"THA","Thailand","co2e_100yr",612863824.9854548,8.780286793005219,0.8059066446742322,-35.747821790951036
21,"ZMB","Zambia","co2e_100yr",606445885.3929318,32.98777941988829,0.7974671513449355,20.187971499924927
22,"PAK","Pakistan","co2e_100yr",605456560.3246799,2.740957812268638,0.7961662038689347,-2.434423290760796
23,"VNM","Viet Nam","co2e_100yr",585475255.8513641,6.014832328629277,0.7698910912128951,5.750985235659375
24,"MOZ","Mozambique","co2e_100yr",560892975.9801339,17.945454157977128,0.7375657656155876,126.85735110321559
25,"NGA","Nigeria","co2e_100yr",548585516.9904206,2.6612332205284788,0.7213816435080362,-21.686978103283472
26,"ARG","Argentina","co2e_100yr",510607745.8929435,11.25262606089693,0.6714414498963475,-2.2877042852413414
27,"MYS","Malaysia","co2e_100yr",510309100.7430936,15.766827296445289,0.6710487360489125,-6.793569435654288
28,"IRQ","Iraq","co2e_100yr",500965315.8849749,12.4548518495971,0.6587618005233199,-0.8763037780543983
29,"VEN","Venezuela (Bolivarian Republic of)","co2e_100yr",481443961.82995427,16.930824549407568,0.6330915156988685,-48.36922832005936
30,"ARE","United Arab Emirates","co2e_100yr",478620046.6934423,48.392385211259636,0.6293781100780274,2.0782412958599084
31,"FRA","France","co2e_100yr",464089211.5189804,6.887649824618051,0.6102702819727499,-3.0767347774796674
32,"GBR","United Kingdom of Great Britain and Northern Ireland","co2e_100yr",458262297.4835493,6.817827863720676,0.6026079782967075,-1.2865729339217689
33,"MMR","Myanmar","co2e_100yr",418501012.3590399,7.691648535905869,0.5503224907605663,-52.55920812425893
34,"POL","Poland","co2e_100yr",415898779.24359393,10.973851845008173,0.5469005936388378,0.18937521889901668
35,"KAZ","Kazakhstan","co2e_100yr",396694829.07811046,21.15204874568958,0.5216476901203061,-0.521054403493809
36,"ITA","Italy","co2e_100yr",394446240.5471605,6.634976936774628,0.5186908302693045,-1.1195696350613187
37,"EGY","Egypt","co2e_100yr",386332170.28358227,3.775193473142969,0.5080209508047652,-0.2877439716646951
38,"COL","Colombia","co2e_100yr",368306016.77957314,7.2383085986158555,0.4843168320518865,-25.619540757206632
39,"TZA","United Republic of Tanzania","co2e_100yr",357643332.0910371,5.98724439695953,0.4702955632312617,-6.42483509051058
40,"DZA","Algeria","co2e_100yr",346802741.8185921,7.9086543464562995,0.4560403512631518,-0.02021037644233202
41,"BGD","Bangladesh","co2e_100yr",343532294.9372181,2.085940749059811,0.45173976316298786,-4.040071559310449
42,"ESP","Spain","co2e_100yr",342933593.2252104,7.240473776295804,0.45095247948231654,0.4987586009541251
43,"ETH","Ethiopia","co2e_100yr",325324288.7656105,2.829802971307971,0.42779651090737264,-23.39142128977962
44,"UKR","Ukraine","co2e_100yr",324374036.793087,7.349638453202496,0.4265469439602785,0.5919056337457356
45,"TWN","Taiwan","co2e_100yr",315750079.85576725,0,0.4152065712447974,0.8058331085937266
46,"PER","Peru","co2e_100yr",304542331.2089121,9.236435570180452,0.40046855157696404,57.12710838868752
47,"SSD","South Sudan","co2e_100yr",302907890.9212862,27.060498866935784,0.39831928736129235,-12.756737111013
48,"PHL","Philippines","co2e_100yr",295867131.8457256,2.699983595213769,0.3890607958478156,-10.38698123675897
49,"QAT","Qatar","co2e_100yr",295047173.0294621,102.40924278892564,0.3879825624271994,2.0523569224165925
50,"LAO","Lao People's Democratic Republic","co2e_100yr",279186464.0438406,38.3732135446199,0.3671259704084748,0.13311838524122294
51,"CAF","Central African Republic","co2e_100yr",254008378.87416148,52.59229620208389,0.3340171698704439,-44.10676342565549
52,"UZB","Uzbekistan","co2e_100yr",246882316.53175384,7.212022549971557,0.3246465058534488,6.765543425162901
53,"TKM","Turkmenistan","co2e_100yr",239011587.26997757,39.62927816198993,0.31429661611954596,3.740708951174533
54,"KWT","Kuwait","co2e_100yr",208428364.79870072,48.80582836471461,0.2740801419203431,-0.08766910771172151
55,"NLD","Netherlands","co2e_100yr",207048140.45045018,11.8710053866038,0.2722651678134562,0.23735773315687608
56,"MDG","Madagascar","co2e_100yr",205861184.50741878,7.43422206699648,0.2707043387313232,149.28096009498137
57,"COG","Congo","co2e_100yr",202974178.12998834,36.783398705564956,0.26690796908453696,-14.103623198498877
58,"TCD","Chad","co2e_100yr",197223184.51462972,12.006871878945857,0.259345499610659,39.14275592062984
59,"SDN","Sudan","co2e_100yr",194393144.1577397,4.4332128811027545,0.2556240394178208,53.67067418465356
