id,name,sector,subsector,country,assetType,sourceType,longitude,latitude,srid,gas,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year,gadm_id
25450446,Hekinan power station,power,electricity-generation,JPN,coal,point-source,136.9593,34.8346,4326,co2e_100yr,16545000.0,0.9498794350671719,t of CO2e_100yr per MWh,17418000.0,MWh,4100.0,MW,4248.292682926829,2024,JPN.1_1
1566924,Nippon Nagoya steel plant,manufacturing,iron-and-steel,JPN,BF/BOF,point-source,136.86710914077,35.0289478646419,4326,co2e_100yr,6804349.439649265,1.9000000000000004,t of CO2e_100yr per t of steel,3581236.5471838233,t of steel,6000000.0,t of steel,0.5968727578639705,2024,JPN.1_1
447650,TAKETOYO,power,electricity-generation,JPN,"oil, coal",point-source,136.9236,34.8242,4326,co2e_100yr,6028600.0,0.9500141826089697,t of CO2e_100yr per MWh,6345800.0,MWh,1070.0,MW,5930.654205607477,2024,JPN.1_1
447649,SHIN NAGOYA,power,electricity-generation,JPN,"gas, oil",point-source,136.8794,35.0663,4326,co2e_100yr,4577700.0,0.36249821827338813,t of CO2e_100yr per MWh,12628200.0,MWh,3058.0,MW,4129.5618051013735,2024,JPN.1_1
447644,CHITA,power,electricity-generation,JPN,gas,point-source,136.8441,34.9869,4326,co2e_100yr,4054900.0,0.5254298783253211,t of CO2e_100yr per MWh,7717300.0,MWh,1868.8,MW,4129.548373287671,2024,JPN.1_1
447646,CHITA DAINI,power,electricity-generation,JPN,gas,point-source,136.864,35.0065,4326,co2e_100yr,3815200.0,0.5406799597522781,t of CO2e_100yr per MWh,7056300.0,MWh,1708.8,MW,4129.38904494382,2024,JPN.1_1
3640320,Nagoya City,transportation,road-transportation,JPN,,gadm-aggregation,136.92822467035063,35.14487050000007,4326,co2e_100yr,3439282.0594287924,0.00023935435338979738,t of CO2e_100yr per Vehicle*km ,14368997307.635324,Vehicle*km ,12487.763684620497,km,1150646.1581533363,2024,JPN.1_1
451814,NISHI-NAGOYA,power,electricity-generation,JPN,"gas, other_fossil, oil",point-source,136.8303,35.0326,4326,co2e_100yr,2941700.0,0.4211151671319161,t of CO2e_100yr per MWh,6985500.0,MWh,2314.0,MW,3018.798617113224,2024,JPN.1_1
1310954,Nagoya City,buildings,residential-onsite-fuel-usage,JPN,,gadm-aggregation,136.92822467035063,35.14487050000007,4326,co2e_100yr,1463211.20053,3.835856338002673e-05,t of CO2e_100yr per MJ,38145620471.59183,MJ,1865199868.9667995,m^2,20.451224078587376,2024,JPN.1_1
25453250,Nagoya power station,power,electricity-generation,JPN,coal,point-source,136.9275,34.8444,4326,co2e_100yr,1459400.0,0.9500683549248096,t of CO2e_100yr per MWh,1536100.0,MWh,259.0,MW,5930.888030888031,2024,JPN.1_1
2795951,Nagoya,transportation,international-shipping,JPN,,point-source,136.837375,35.029961,4326,co2e_100yr,1428225.1291581327,0.330294801668965,t of CO2e_100yr per Nautical miles (nmi),4324092.059400797,Nautical miles (nmi),5612.0,voyages and stays,770.5082073059153,2024,JPN.1_1
3143982,Idemitsu Kosan Aichi Refinery,fossil-fuel-operations,oil-and-gas-refining,JPN,Medium Conversion,point-source,136.831448,34.974969,4326,co2e_100yr,1413553.86129,0.029996732562282937,t of CO2e_100yr per BBL,47123594.49,BBL,170000.0,BBL per day,277.19761464705886,2024,JPN.1_1
3640396,Toyota City,transportation,road-transportation,JPN,,gadm-aggregation,137.28180617744727,35.13709068350008,4326,co2e_100yr,1303862.5104302464,0.0002381928922694014,t of CO2e_100yr per Vehicle*km ,5473977405.486765,Vehicle*km ,9461.661214111917,km,578542.9515614462,2024,JPN.1_1
3640193,Ichinomiya/Owari-ichinomiya City,transportation,road-transportation,JPN,,gadm-aggregation,136.8021952849142,35.3075332650001,4326,co2e_100yr,1232702.95505495,0.00023960932506736116,t of CO2e_100yr per Vehicle*km ,5144636815.401075,Vehicle*km ,5629.11646286654,km,913933.2698725599,2024,JPN.1_1
3640388,Toyohashi City,transportation,road-transportation,JPN,,gadm-aggregation,137.4023442497657,34.74944850000011,4326,co2e_100yr,1089572.6452221412,0.00023899225962454652,t of CO2e_100yr per Vehicle*km ,4559029011.792451,Vehicle*km ,6883.0105948765295,km,662359.7260166985,2024,JPN.1_1
1932171,Nagoya,transportation,domestic-shipping,JPN,,point-source,136.837375,35.029961,4326,co2e_100yr,1016926.1817041856,0.25156871866213226,t of CO2e_100yr per Nautical miles (nmi),4042339.552835906,Nautical miles (nmi),99433.0,voyages and stays,40.65390315927213,2024,JPN.1_1
25452329,Tokai Kyodo power station,power,electricity-generation,JPN,coal,point-source,136.8659,35.0273,4326,co2e_100yr,839510.0,0.9500373446800806,t of CO2e_100yr per MWh,883660.0,MWh,149.0,MW,5930.604026845637,2024,JPN.1_1
3640330,Okazaki City,transportation,road-transportation,JPN,,gadm-aggregation,137.2613750664356,34.94796943750015,4326,co2e_100yr,758919.5954049705,0.00023883200213337878,t of CO2e_100yr per Vehicle*km ,3177629415.764568,Vehicle*km ,5027.634536341218,km,632032.6970458432,2024,JPN.1_1
3640226,Kasugai City,transportation,road-transportation,JPN,,gadm-aggregation,137.0171981119249,35.27388000550013,4326,co2e_100yr,673993.5079557792,0.00023905340385263387,t of CO2e_100yr per Vehicle*km ,2819426526.0128536,Vehicle*km ,3048.839125911042,km,924754.1144599959,2024,JPN.1_1
3640273,Komaki City,transportation,road-transportation,JPN,,gadm-aggregation,136.9517811054452,35.29651451150008,4326,co2e_100yr,534966.7694931068,0.00023919782182697604,t of CO2e_100yr per Vehicle*km ,2236503515.822462,Vehicle*km ,1917.910992006612,km,1166114.342711245,2024,JPN.1_1
3168247,Chubu Centrair International Airport,transportation,international-aviation,JPN,international,point-source,136.804993,34.858398,4326,co2e_100yr,527909.9684076224,3.1848478699999996,t of CO2e_100yr per t of fuel,165756.72997769355,t of fuel,31401.0,flights,5.27870863914186,2024,JPN.1_1
3640194,Inazawa City,transportation,road-transportation,JPN,,gadm-aggregation,136.75959124394188,35.235523223500095,4326,co2e_100yr,510035.50740060664,0.00023996923597026251,t of CO2e_100yr per Vehicle*km ,2125420391.2363636,Vehicle*km ,3119.534868007007,km,681326.056981771,2024,JPN.1_1
3640224,Kariya City,transportation,road-transportation,JPN,,gadm-aggregation,137.01417138906217,35.00828361550006,4326,co2e_100yr,439150.39730366296,0.00023877269764547082,t of CO2e_100yr per Vehicle*km ,1839198541.6846633,Vehicle*km ,2036.746605543262,km,903008.0308856552,2024,JPN.1_1
3640327,Anjō City,transportation,road-transportation,JPN,,gadm-aggregation,137.0707024898844,34.94726562450006,4326,co2e_100yr,432841.46266084665,0.00023904127810168402,t of CO2e_100yr per Vehicle*km ,1810739409.102069,Vehicle*km ,2394.120829843056,km,756327.4946405984,2024,JPN.1_1
3640390,Toyokawa City,transportation,road-transportation,JPN,,gadm-aggregation,137.37912276946878,34.849032377500116,4326,co2e_100yr,388621.4883445045,0.00023891432506439598,t of CO2e_100yr per Vehicle*km ,1626614428.5812793,Vehicle*km ,2240.0712068454523,km,726144.072389527,2024,JPN.1_1
447643,ATSUMI,power,electricity-generation,JPN,oil,point-source,137.0676,34.6543,4326,co2e_100yr,378280.0,0.6543165032086209,t of CO2e_100yr per MWh,578130.0,MWh,700.0,MW,825.9,2024,JPN.1_1
2796039,Toyohashi,transportation,international-shipping,JPN,,point-source,137.317941,34.719652,4326,co2e_100yr,371613.0118352764,0.2805156432986903,t of CO2e_100yr per Nautical miles (nmi),1324749.691194892,Nautical miles (nmi),937.0,voyages and stays,1413.8203748077822,2024,JPN.1_1
3640322,Nishio City,transportation,road-transportation,JPN,,gadm-aggregation,137.05961238131323,34.85803413450009,4326,co2e_100yr,368002.4420462433,0.00023916128012597447,t of CO2e_100yr per Vehicle*km ,1538720824.0916078,Vehicle*km ,2134.4531532216456,km,720896.976243837,2024,JPN.1_1
3640304,Aisai City,transportation,road-transportation,JPN,,gadm-aggregation,136.69553204949966,35.17064094550014,4326,co2e_100yr,364899.8357377967,0.00023983233211101774,t of CO2e_100yr per Vehicle*km ,1521478912.062972,Vehicle*km ,2344.6970235997205,km,648902.1382076503,2024,JPN.1_1
3640382,Tōkai City,transportation,road-transportation,JPN,,gadm-aggregation,136.8970612430722,35.01709938100014,4326,co2e_100yr,352142.9443773195,0.00023895211462973313,t of CO2e_100yr per Vehicle*km ,1473696706.6517932,Vehicle*km ,1255.2723429590435,km,1174005.5573739957,2024,JPN.1_1
1311001,Toyota City,buildings,residential-onsite-fuel-usage,JPN,,gadm-aggregation,137.28180617744727,35.13709068350008,4326,co2e_100yr,300642.964504,3.28305688695478e-05,t of CO2e_100yr per MJ,9157409538.00113,MJ,447768284.90279984,m^2,20.45122409683167,2024,JPN.1_1
3173153,Chubu Centrair International Airport,transportation,domestic-aviation,JPN,domestic,point-source,136.804993,34.858398,4326,co2e_100yr,299185.3806364367,3.18484787,t of CO2e_100yr per t of fuel,93940.24231255878,t of fuel,55865.0,flights,1.6815580831031733,2024,JPN.1_1
3640367,Tahara City,transportation,road-transportation,JPN,,gadm-aggregation,137.24227404533178,34.6546895000001,4326,co2e_100yr,291743.64059236855,0.00023900321148331074,t of CO2e_100yr per Vehicle*km ,1220668286.3453515,Vehicle*km ,3854.8117961456633,km,316660.92948191904,2024,JPN.1_1
3640491,Handa City,transportation,road-transportation,JPN,,gadm-aggregation,136.92004764111164,34.902778626000156,4326,co2e_100yr,286746.9813360081,0.00023919870736035126,t of CO2e_100yr per Vehicle*km ,1198781483.8147335,Vehicle*km ,1338.4945089058974,km,895619.2766114767,2024,JPN.1_1
3640326,Ōbu City,transportation,road-transportation,JPN,,gadm-aggregation,136.96753301117928,35.0137023930001,4326,co2e_100yr,280339.9015132166,0.0002392213853609845,t of CO2e_100yr per Vehicle*km ,1171884784.0053446,Vehicle*km ,1094.3632609493843,km,1070837.1030188904,2024,JPN.1_1
3640433,Yatomi City,transportation,road-transportation,JPN,,gadm-aggregation,136.76723519716825,35.07174696000007,4326,co2e_100yr,274084.0479683257,0.00023960221534110343,t of CO2e_100yr per Vehicle*km ,1143912828.928285,Vehicle*km ,1513.9519549316888,km,755580.6676704609,2024,JPN.1_1
2795855,Hekinan,transportation,international-shipping,JPN,,point-source,136.965793,34.865947,4326,co2e_100yr,269541.09745404875,0.2657667428888137,t of CO2e_100yr per Nautical miles (nmi),1014201.7564884486,Nautical miles (nmi),796.0,voyages and stays,1274.122809658855,2024,JPN.1_1
1310998,Toyohashi City,buildings,residential-onsite-fuel-usage,JPN,,gadm-aggregation,137.4023442497657,34.74944850000011,4326,co2e_100yr,269164.040926,3.4096198662687294e-05,t of CO2e_100yr per MJ,7894253655.336539,MJ,386003969.14188,m^2,20.451224045405915,2024,JPN.1_1
1310849,Ichinomiya/Owari-ichinomiya City,buildings,residential-onsite-fuel-usage,JPN,,gadm-aggregation,136.8021952849142,35.3075332650001,4326,co2e_100yr,268415.748336,3.551565141198642e-05,t of CO2e_100yr per MJ,7557674931.042109,MJ,369546336.8255999,m^2,20.451224049364082,2024,JPN.1_1
3640279,Kōnan City,transportation,road-transportation,JPN,,gadm-aggregation,136.87723640347184,35.334909439000114,4326,co2e_100yr,266321.1150568831,0.0002399720220657795,t of CO2e_100yr per Vehicle*km ,1109800687.4479766,Vehicle*km ,1499.0487462823369,km,740336.6236090045,2024,JPN.1_1
1310974,Okazaki City,buildings,residential-onsite-fuel-usage,JPN,,gadm-aggregation,137.2613750664356,34.94796943750015,4326,co2e_100yr,257922.93711399997,3.6534385858953465e-05,t of CO2e_100yr per MJ,7059731019.148661,MJ,345198458.30831987,m^2,20.451224069034346,2024,JPN.1_1
3640350,Seto City,transportation,road-transportation,JPN,,gadm-aggregation,137.12407615043224,35.235370636500164,4326,co2e_100yr,251071.50927985949,0.00023834965104165137,t of CO2e_100yr per Vehicle*km ,1053374771.8220279,Vehicle*km ,1538.6306589757926,km,684618.3427302944,2024,JPN.1_1
